,code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.800000,恒生指数,2019-01-17 00:00:00,26953.21,26755.63,27012.19,26703.31,0.0,0.0,0,97402645795.095,-0.5444556372922469,26902.1
1,HK.800000,恒生指数,2019-01-18 00:00:00,26993.44,27090.81,27116.65,26915.08,0.0,0.0,0,92025254324.908,1.252745683805615,26755.63
2,HK.800000,恒生指数,2019-01-21 00:00:00,27134.27,27196.54,27323.61,27084.3,0.0,0.0,0,90335597044.588,0.3902799510239803,27090.81
3,HK.800000,恒生指数,2019-01-22 00:00:00,27189.4,27005.45,27223.7,26854.66,0.0,0.0,0,84187177874.151,-0.7026261428843528,27196.54
4,HK.800000,恒生指数,2019-01-23 00:00:00,26879.91,27008.2,27131.22,26879.91,0.0,0.0,0,77818978571.622,0.010183129701597269,27005.45
5,HK.800000,恒生指数,2019-01-24 00:00:00,27075.37,27120.98,27120.98,26889.79,0.0,0.0,0,80172025521.238,0.4175768840574301,27008.2
6,HK.800000,恒生指数,2019-01-25 00:00:00,27282.88,27569.19,27569.19,27217.75,0.0,0.0,0,106401976235.596,1.6526320214092525,27120.98
7,HK.800000,恒生指数,2019-01-28 00:00:00,27695.81,27576.96,27790.22,27462.37,0.0,0.0,0,93967334853.923,0.028183635427810674,27569.19
8,HK.800000,恒生指数,2019-01-29 00:00:00,27397.54,27531.68,27575.37,27328.17,0.0,0.0,0,91933061829.512,-0.16419503817679265,27576.96
9,HK.800000,恒生指数,2019-01-30 00:00:00,27571.41,27642.85,27642.85,27369.75,0.0,0.0,0,94763002617.363,0.40378938008867693,27531.68
10,HK.800000,恒生指数,2019-01-31 00:00:00,27842.05,27942.47,28010.9,27773.98,0.0,0.0,0,113154013857.736,1.0838969209036067,27642.85
11,HK.800000,恒生指数,2019-02-01 00:00:00,28193.28,27930.74,28193.28,27802.5,0.0,0.0,0,91012205949.256,-0.04197910921976319,27942.47
12,HK.800000,恒生指数,2019-02-04 00:00:00,27985.42,27990.21,28005.15,27847.43,0.0,0.0,0,41099178961.706,0.21291952880588744,27930.74
13,HK.800000,恒生指数,2019-02-08 00:00:00,27708.13,27946.32,28008.82,27534.2,0.0,0.0,0,81274786685.502,-0.156804825687265,27990.21
14,HK.800000,恒生指数,2019-02-11 00:00:00,27927.45,28143.84,28143.84,27847.85,0.0,0.0,0,88143433026.719,0.7067835765138324,27946.32
15,HK.800000,恒生指数,2019-02-12 00:00:00,28093.31,28171.33,28219.59,27983.48,0.0,0.0,0,95988910707.249,0.09767679179529731,28143.84
16,HK.800000,恒生指数,2019-02-13 00:00:00,28184.87,28497.59,28533.36,28160.46,0.0,0.0,0,121011828456.44,1.1581277845241897,28171.33
17,HK.800000,恒生指数,2019-02-14 00:00:00,28396.4,28432.05,28476.65,28275.18,0.0,0.0,0,103827754558.056,-0.22998436008097833,28497.59
18,HK.800000,恒生指数,2019-02-15 00:00:00,28241.44,27900.84,28256.69,27845.87,0.0,0.0,0,102284612072.715,-1.868349274850034,28432.05
19,HK.800000,恒生指数,2019-02-18 00:00:00,28186.75,28347.01,28412.08,28186.75,0.0,0.0,0,95063362375.942,1.5991274814665015,27900.84
20,HK.800000,恒生指数,2019-02-19 00:00:00,28440.49,28228.13,28488.97,28208.87,0.0,0.0,0,96876079960.552,-0.4193740362740105,28347.01
21,HK.800000,恒生指数,2019-02-20 00:00:00,28404.68,28514.05,28599.77,28357.3,0.0,0.0,0,108645479227.283,1.0128903331534829,28228.13
22,HK.800000,恒生指数,2019-02-21 00:00:00,28450.0,28629.92,28759.35,28364.85,0.0,0.0,0,114986958517.335,0.4063610746281184,28514.05
23,HK.800000,恒生指数,2019-02-22 00:00:00,28478.96,28816.3,28816.3,28430.2,0.0,0.0,0,109134257827.662,0.650997278371721,28629.92
24,HK.800000,恒生指数,2019-02-25 00:00:00,28975.52,28959.3,29009.98,28763.46,0.0,0.0,0,168754552774.455,0.49624691580806696,28816.3
25,HK.800000,恒生指数,2019-02-26 00:00:00,28971.23,28772.06,28971.23,28700.01,0.0,0.0,0,133498939283.539,-0.6465625895653484,28959.3
26,HK.800000,恒生指数,2019-02-27 00:00:00,28833.16,28757.44,29014.19,28701.47,0.0,0.0,0,121043309895.333,-0.05081318473547816,28772.06
27,HK.800000,恒生指数,2019-02-28 00:00:00,28719.71,28633.18,28917.49,28571.13,0.0,0.0,0,121190869887.567,-0.4320968764952597,28757.44
28,HK.800000,恒生指数,2019-03-01 00:00:00,28716.6,28812.17,28860.2,28663.71,0.0,0.0,0,108755529489.653,0.6251139412387935,28633.18
29,HK.800000,恒生指数,2019-03-04 00:00:00,28855.11,28959.59,29241.8,28760.67,0.0,0.0,0,148918639048.439,0.5116587886299502,28812.17
30,HK.800000,恒生指数,2019-03-05 00:00:00,28823.16,28961.6,29025.79,28734.81,0.0,0.0,0,118658222624.567,0.006940705997558665,28959.59
31,HK.800000,恒生指数,2019-03-06 00:00:00,29003.25,29037.6,29122.81,28938.39,0.0,0.0,0,114514750873.45,0.2624164410806033,28961.6
32,HK.800000,恒生指数,2019-03-07 00:00:00,28965.42,28779.45,29007.07,28772.45,0.0,0.0,0,108349563226.38,-0.8890197536986453,29037.6
33,HK.800000,恒生指数,2019-03-08 00:00:00,28409.14,28228.42,28533.76,28201.09,0.0,0.0,0,144585432762.0,-1.9146648042266357,28779.45
34,HK.800000,恒生指数,2019-03-11 00:00:00,28265.85,28503.3,28512.27,28240.78,0.0,0.0,0,102789233767.921,0.9737704058533954,28228.42
