,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
40,HK.04243,HKGB GREEN 5102,2000,BOND,N/A,,N/A,,N/A,N/A,2021-02-03,80144089747603,False,N/A,False,,HK_MAINBOARD
41,HK.04244,HKGB 1.59 3603,500,BOND,N/A,,N/A,,N/A,N/A,2021-03-05,80272938766484,False,N/A,False,,HK_MAINBOARD
42,HK.04245,HKGB 0.36 2404,500,BOND,N/A,,N/A,,N/A,N/A,2021-04-16,80453327392917,False,N/A,False,,HK_MAINBOARD
43,HK.04246,政府债券二四零六,100,BOND,N/A,,N/A,,N/A,N/A,2021-06-24,80650895888534,False,N/A,False,,HK_MAINBOARD
44,HK.04248,HKGB GREEN 3111,2000,BOND,N/A,,N/A,,N/A,N/A,2021-11-25,81411105099928,False,N/A,False,,HK_MAINBOARD
45,HK.04249,HKGB GREEN 2611,1000,BOND,N/A,,N/A,,N/A,N/A,2021-11-25,81411105099929,False,N/A,False,,HK_MAINBOARD
46,HK.04250,HKGB GREEN 4111,1000,BOND,N/A,,N/A,,N/A,N/A,2021-11-25,81411105099930,False,N/A,False,,HK_MAINBOARD
47,HK.04252,政府绿债二五零五,100,BOND,N/A,,N/A,,N/A,N/A,2022-05-19,81789062221980,False,N/A,False,,HK_MAINBOARD
48,HK.04253,HKGB 1.79 2504,500,BOND,N/A,,N/A,,N/A,N/A,2022-04-19,82033875357853,False,N/A,False,,HK_MAINBOARD
49,HK.04255,HKGB 3.30 4205,500,BOND,N/A,,N/A,,N/A,N/A,2022-05-27,82197084115103,False,N/A,False,,HK_MAINBOARD
50,HK.04258,HKGB 3.74 3801,500,BOND,N/A,,N/A,,N/A,N/A,2023-01-13,83189221560482,False,N/A,False,,HK_MAINBOARD
51,HK.04259,HKGB GREEN 2601,2000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593187,False,N/A,False,,HK_MAINBOARD
52,HK.04260,HKGB GREEN 2801,2000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593188,False,N/A,False,,HK_MAINBOARD
53,HK.04261,HKGB GREEN 3301,2000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593189,False,N/A,False,,HK_MAINBOARD
54,HK.04262,HKGB GREEN 5301,2000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593190,False,N/A,False,,HK_MAINBOARD
55,HK.04263,HKGB GREEN 2501,1000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593191,False,N/A,False,,HK_MAINBOARD
56,HK.04264,HKGB GREEN 3001,1000,BOND,N/A,,N/A,,N/A,N/A,2023-01-12,83184926593192,False,N/A,False,,HK_MAINBOARD
57,HK.04265,HKGB FRN 2402,500,BOND,N/A,,N/A,,N/A,N/A,2023-02-17,83339545415849,False,N/A,False,,HK_MAINBOARD
58,HK.04266,HKGB FRN 2405,500,BOND,N/A,,N/A,,N/A,N/A,2023-05-19,83730387439786,False,N/A,False,,HK_MAINBOARD
59,HK.04267,HKGB GREEN 2606,2000,BOND,N/A,,N/A,,N/A,N/A,2023-06-08,83816286785707,False,N/A,False,,HK_MAINBOARD
60,HK.04268,HKGB GREEN 2806,2000,BOND,N/A,,N/A,,N/A,N/A,2023-06-08,83816286785708,False,N/A,False,,HK_MAINBOARD
61,HK.04269,HKGB GREEN 3306,2000,BOND,N/A,,N/A,,N/A,N/A,2023-06-08,83816286785709,False,N/A,False,,HK_MAINBOARD
62,HK.04270,HKGB GREEN 2706,1000,BOND,N/A,,N/A,,N/A,N/A,2023-06-08,83816286785710,False,N/A,False,,HK_MAINBOARD
63,HK.04271,HKGB GREEN 3206,1000,BOND,N/A,,N/A,,N/A,N/A,2023-06-08,83816286785711,False,N/A,False,,HK_MAINBOARD
64,HK.04272,HKGB FRN 2408,500,BOND,N/A,,N/A,,N/A,N/A,2023-08-18,84121229463728,False,N/A,False,,HK_MAINBOARD
65,HK.04273,政府绿债二六一零,100,BOND,N/A,,N/A,,N/A,N/A,2023-10-11,84228603646129,False,N/A,False,,HK_MAINBOARD
66,HK.04274,HKGB FRN 2411,500,BOND,N/A,,N/A,,N/A,N/A,2023-11-17,84512071487666,False,N/A,False,,HK_MAINBOARD
67,HK.04300,JY GRDMRK N2501,1500,BOND,N/A,,N/A,,N/A,N/A,2024-01-12,84752589656268,False,N/A,False,,HK_MAINBOARD
68,HK.04301,GLDDRAGON N2412,2000,BOND,N/A,,N/A,,N/A,N/A,2024-01-11,84748294688973,False,N/A,False,,HK_MAINBOARD
69,HK.04302,JJ PORT B2501,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-06,81591493726414,False,N/A,False,,HK_MAINBOARD
70,HK.04303,CCBL1CORP N2405,2000,BOND,N/A,,N/A,,N/A,N/A,2019-05-17,77446850285775,False,N/A,False,,HK_MAINBOARD
71,HK.04304,ZJ XC INV B2701,2000,BOND,N/A,,N/A,,N/A,N/A,2024-01-12,84752589656272,False,N/A,False,,HK_MAINBOARD
72,HK.04305,JIAN CHG N2701,2000,BOND,N/A,,N/A,,N/A,N/A,2024-01-17,84774064492753,False,N/A,False,,HK_MAINBOARD
73,HK.04306,CLP-PF N2403,5000,BOND,N/A,,N/A,,N/A,N/A,2009-03-19,61508226650322,False,N/A,False,,HK_MAINBOARD
74,HK.04308,ZJCX B2501,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-07,81595788693716,False,N/A,False,,HK_MAINBOARD
75,HK.04313,YC HI TEC B2501,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-11,81612968562905,False,N/A,False,,HK_MAINBOARD
76,HK.04314,CITIC LTD N3109,2000,BOND,N/A,,N/A,,N/A,N/A,2016-09-08,73233487368410,False,N/A,False,,HK_MAINBOARD
77,HK.04315,JJ PORT B2501B,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497499,False,N/A,False,,HK_MAINBOARD
78,HK.04316,AIR AUTH N3201,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497500,False,N/A,False,,HK_MAINBOARD
79,HK.04317,CITIC LTD N4609,2000,BOND,N/A,,N/A,,N/A,N/A,2016-09-08,73233487368413,False,N/A,False,,HK_MAINBOARD
80,HK.04318,AIR AUTH N5201,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497502,False,N/A,False,,HK_MAINBOARD
81,HK.04319,CCBL1CORP N2905,2000,BOND,N/A,,N/A,,N/A,N/A,2019-05-17,77446850285791,False,N/A,False,,HK_MAINBOARD
82,HK.04320,AIR AUTH N6201,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497504,False,N/A,False,,HK_MAINBOARD
83,HK.04323,HBAP N2509,2500,BOND,N/A,,N/A,,N/A,N/A,2010-09-10,63827508990179,False,N/A,False,,HK_MAINBOARD
84,HK.04325,AIR AUTH N2701,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497509,False,N/A,False,,HK_MAINBOARD
85,HK.04327,WUXIXIXI B2501,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497511,False,N/A,False,,HK_MAINBOARD
86,HK.04328,WUXIXIXI B2501B,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-13,81621558497512,False,N/A,False,,HK_MAINBOARD
87,HK.04401,SAIL VAN B2701,20000,BOND,N/A,,N/A,,N/A,N/A,2022-01-14,81625853464881,False,N/A,False,,HK_MAINBOARD
88,HK.04403,FWDGP LTD N2407,2000,BOND,N/A,,N/A,,N/A,N/A,2019-07-10,77678778519859,False,N/A,False,,HK_MAINBOARD
89,HK.04404,JS DSQ B2501,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-17,81638738366772,False,N/A,False,,HK_MAINBOARD
90,HK.04406,AZORB IV N2801,2000,BOND,N/A,,N/A,,N/A,N/A,2018-01-26,75402445852982,False,N/A,False,,HK_MAINBOARD
91,HK.04407,GZ DDH B2701,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-20,81651623268663,False,N/A,False,,HK_MAINBOARD
92,HK.04408,LINK FIN N3201,2000,BOND,N/A,,N/A,,N/A,N/A,2022-01-20,81651623268664,False,N/A,False,,HK_MAINBOARD
