,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
43,HK.800155,恒生工商分类指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800155,False,N/A,False,,HK_MAINBOARD
44,HK.800156,中华交易服务中国280指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800156,False,N/A,False,,HK_MAINBOARD
45,HK.800157,中华交易服务博彩业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800157,False,N/A,False,,HK_MAINBOARD
46,HK.800158,中华交易服务沪股通300指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800158,False,N/A,False,,HK_MAINBOARD
47,HK.800159,中华交易服务港股通精选100指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800159,False,N/A,False,,HK_MAINBOARD
48,HK.800160,中华港股通优选50指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800160,False,N/A,False,,HK_MAINBOARD
49,HK.800161,恒生内地银行指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800161,False,N/A,False,,HK_MAINBOARD
50,HK.800162,恒生内地地产指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800162,False,N/A,False,,HK_MAINBOARD
51,HK.800164,恒生内地油气指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800164,False,N/A,False,,HK_MAINBOARD
52,HK.800165,恒生IT硬件指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800165,False,N/A,False,,HK_MAINBOARD
53,HK.800166,恒生软件服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800166,False,N/A,False,,HK_MAINBOARD
54,HK.800167,恒生指数(总回报指数),0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800167,False,N/A,False,,HK_MAINBOARD
55,HK.800168,恒生金融分类指数(总回报指数),0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800168,False,N/A,False,,HK_MAINBOARD
