,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
38,US..DJR,道琼斯股票房地产投资信托指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045807,False,N/A,False,,US_NYSE
39,US..DJS,DJIA 1/100th结算指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045518,False,N/A,False,,US_NYSE
40,US..DJT,道琼斯交通运输平均指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213278,False,N/A,False,,N/A
41,US..DJU,道琼斯公用事业平均指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213279,False,N/A,False,,N/A
42,US..DJUS,道琼斯美国指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213280,False,N/A,False,,N/A
43,US..DJUSAE,道琼斯美国航空航天与国防指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213281,False,N/A,False,,N/A
44,US..DJUSAF,Dow Jones US Delivery Services Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213282,False,N/A,False,,N/A
45,US..DJUSAG,Dow Jones US Asset Managers Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213283,False,N/A,False,,N/A
46,US..DJUSAI,道琼斯美国电子设备指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213284,False,N/A,False,,N/A
47,US..DJUSAL,道琼斯美铝指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213285,False,N/A,False,,N/A
48,US..DJUSAM,道琼斯美国医疗器械指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213286,False,N/A,False,,N/A
49,US..DJUSAP,道琼斯美国汽车零部件指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213287,False,N/A,False,,N/A
50,US..DJUSAR,道琼斯美国航空指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213288,False,N/A,False,,N/A
51,US..DJUSAS,道琼斯美国航空航天指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213289,False,N/A,False,,N/A
52,US..DJUSAT,道琼斯美国汽车零部件指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213290,False,N/A,False,,N/A
53,US..DJUSAU,道琼斯美国汽车指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213291,False,N/A,False,,N/A
54,US..DJUSAV,道琼斯美国媒体代理指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213292,False,N/A,False,,N/A
55,US..DJUSBC,道琼斯美国广播娱乐指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213293,False,N/A,False,,N/A
56,US..DJUSBD,道琼斯美国建筑材料及灯具指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213294,False,N/A,False,,N/A
57,US..DJUSBE,Dow Jones US Business Training & Employment Agencies Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213295,False,N/A,False,,N/A
58,US..DJUSBK,道琼斯美国银行指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213296,False,N/A,False,,N/A
